epoch,train_loss,val_loss
1,220.32803345,48.86895752
2,195.62808228,48.67100525
3,194.73722839,48.51136017	
4,194.07875061,48.25744629	
5,192.60110474,48.18843460	
6,190.49758911,47.44272614	
7,188.33355713,46.77514648	
8,186.75170898,46.60089874	
9,185.42503357,46.48570633	
10,184.34231567,46.65368271	
11,183.40963745,45.93585968	
12,182.46081543,45.74988174	
13,181.44256592,45.72288895	
14,180.69064331,45.49693298	
15,179.71278381,45.49858475	
16,178.97142029,45.50589752	
17,178.07766724,45.06815338	
18,177.38446045,45.03176498	
19,176.42848206,45.40318298	
20,175.76599121,45.05476761	
21,175.15127563,45.25931549	
22,174.41181946,44.96340561	
23,173.78157043,45.00133133	
24,173.51565552,44.86461258	
25,173.01062012,44.86302567	
26,172.35844421,44.78062820	
27,171.84509277,44.73304749	
28,171.42353821,44.89819336	
29,170.90653992,44.80414200	
30,170.57659912,44.76155090	
31,170.53837585,44.83921432	
32,169.81294250,44.60656357	
33,169.36940002,44.68127060	
34,169.07760620,44.74635696	
35,168.79104614,44.89523697	
36,169.25154114,44.54402161	
37,168.17433167,44.69733810	
38,167.68531799,44.59974670	
39,167.76815796,44.65260315	
40,167.88420105,44.51703262	
41,167.27697754,44.57037735	
42,167.07394409,44.46002197	
43,166.55253601,44.43255234	
44,166.54171753,44.65670776	
45,166.82450867,44.49075317	
46,165.99989319,44.55570602	
47,166.02900696,44.62950516	
48,166.74729919,44.56337738	
49,165.65338135,44.48117828	
50,165.19021606,44.42774582	
51,164.95678711,44.41429520	
52,165.23109436,44.53913879	
53,165.88340759,44.71692657	
54,165.47715759,44.37335587	
55,164.54927063,44.34357834	
56,164.30000305,44.50337601	
57,164.33212280,44.42042923	
58,164.42976379,44.40429688	
59,164.58656311,44.89790344	
60,165.59970093,44.54578781	
