,epoch,train_loss,val_loss
0,1,0.0377050060886841,0.023361043964106726
1,2,0.02343391083342859,0.022984825605925796
2,3,0.023009963036743256,0.022684737308252913
3,4,0.022700317609410145,0.022213515330341844
4,5,0.022016844652342975,0.022086719816008012
5,6,0.02107064924121378,0.020750974345010477
6,7,0.02012939950600924,0.0196074254649518
7,8,0.019461590123627873,0.019316886056995716
8,9,0.018914438268268906,0.019126596017355182
9,10,0.018476518341740886,0.019404554375024995
10,11,0.01810541951661932,0.0182375855464969
11,12,0.017733662069815182,0.017944024399472
12,13,0.017341102227850437,0.017901713401596485
13,14,0.01705542865686995,0.017550457121483835
14,15,0.01668921344533822,0.017553005943603345
15,16,0.016415522891332773,0.017564293507433597
16,17,0.016090065583479852,0.016898143843713548
17,18,0.015840988108159117,0.016843635099647175
18,19,0.015502251309463186,0.017406247245823653
19,20,0.015270715047311414,0.01687807699861674
20,21,0.015058204859760697,0.017186675344768823
21,22,0.014805518909327358,0.01674159147700548
22,23,0.014592673071306246,0.016798147753249032
23,24,0.014503560931172266,0.016594938042612483
24,25,0.01433544021052634,0.016592590243363244
25,26,0.01412050548334421,0.01647102684113034
26,27,0.013953029813356395,0.016401134567913683
27,28,0.013816619631670347,0.016644678531835592
28,29,0.013650693319115906,0.016505649096401037
29,30,0.013545585697146447,0.01644297703533139
30,31,0.013533448450241178,0.016557391766886878
31,32,0.013304640142633651,0.01621642120638743
32,33,0.013166179719062537,0.01632533141581971
33,34,0.013075681833988604,0.016420662667368954
34,35,0.012987262007679875,0.016640294987873908
35,36,0.013129570219972011,0.016125665435907124
36,37,0.012798492682961814,0.016348826610336202
37,38,0.012650279986653695,0.016206510566487975
38,39,0.01267529650318849,0.016283474467647333
39,40,0.012710402267680833,0.016086619114978135
40,41,0.012527507569056694,0.016163864159547067
41,42,0.01246679685855925,0.016004372089801076
42,43,0.012311897241111437,0.015964855518645297
43,44,0.012308698657886589,0.016289462609330722
44,45,0.01239251349288455,0.016048667500643578
45,46,0.012149298906874611,0.01614259188567931
46,47,0.012157824333038948,0.016249808005419638
47,48,0.012369587473573133,0.016153712133157916
48,49,0.01204817323767807,0.016034856574386924
49,50,0.011913990994751012,0.01595794860532582
50,51,0.011846791346640545,0.015938632131607035
51,52,0.011925788412765445,0.016118595955150795
52,53,0.012115233115390256,0.016377504746135536
53,54,0.0119969871093414,0.015879946946962854
54,55,0.011730157113779874,0.015837363751443664
55,56,0.011659240711511623,0.016066888454645427
56,57,0.011668360656024654,0.01594743905317164
57,58,0.011696117276765713,0.015924284882329918
58,59,0.011740794544887644,0.016644248618906052
59,60,0.012032563856446164,0.01612822316134394
